+-----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+---------------+-------------+---------------+-------+-----------+---------+------+---------+-------+-----------+---------+------+-----+-----+-----+----+----+----+-----+----+-----+------+-----------------------+-----------------------------+
| id  | first_name | last_name | bats | throws | weight | height |   debut    | final_game | birth_year | birth_month | birth_day |  birth_city   | birth_state | birth_country |  id   | player_id | team_id | year | salary  |  id   | player_id | team_id | year |  G  | AB  |  H  | 2B | 3B | HR | RBI | SB | id  | year |         name          |            park             |
| 52  | Jim        | Acker     | R    | R      | 210    | 74     | 1983-04-07 | 1992-06-14 | 1958       | 9           | 24        | Freer         | TX          | USA           | 4130  | 52        | 133     | 1990 | 700000  | 67431 | 52        | 133     | 1990 | 59  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 133 | 2001 | Toronto Blue Jays     | Skydome                     |
| 61  | Mark       | Acre      | R    | R      | 235    | 80     | 1994-05-13 | 1997-05-10 | 1968       | 9           | 16        | Concord       | CA          | USA           | 7126  | 61        | 95      | 1994 | 109000  | 71876 | 61        | 95      | 1994 | 34  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 95  | 2001 | Oakland Athletics     | Oakland Coliseum            |
| 61  | Mark       | Acre      | R    | R      | 235    | 80     | 1994-05-13 | 1997-05-10 | 1968       | 9           | 16        | Concord       | CA          | USA           | 8085  | 61        | 95      | 1995 | 120000  | 72909 | 61        | 95      | 1995 | 43  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 95  | 2001 | Oakland Athletics     | Oakland Coliseum            |
| 61  | Mark       | Acre      | R    | R      | 235    | 80     | 1994-05-13 | 1997-05-10 | 1968       | 9           | 16        | Concord       | CA          | USA           | 9022  | 61        | 95      | 1996 | 140000  | 74161 | 61        | 95      | 1996 | 22  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 95  | 2001 | Oakland Athletics     | Oakland Coliseum            |
| 61  | Mark       | Acre      | R    | R      | 235    | 80     | 1994-05-13 | 1997-05-10 | 1968       | 9           | 16        | Concord       | CA          | USA           | 9947  | 61        | 95      | 1997 | 165000  | 75414 | 61        | 95      | 1997 | 15  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 95  | 2001 | Oakland Athletics     | Oakland Coliseum            |
| 91  | Joel       | Adamson   | L    | L      | 185    | 76     | 1996-04-10 | 1998-04-26 | 1971       | 7           | 2         | Lakewood      | CA          | USA           | 10294 | 91        | 3       | 1998 | 210000  | 76653 | 91        | 3       | 1998 | 5   | 7   | 3   | 1  | 0  | 0  | 1   | 0  | 3   | 2001 | Arizona Diamondbacks  | Bank One Ballpark           |
| 91  | Joel       | Adamson   | L    | L      | 185    | 76     | 1996-04-10 | 1998-04-26 | 1971       | 7           | 2         | Lakewood      | CA          | USA           | 9818  | 91        | 81      | 1997 | 151000  | 75415 | 91        | 81      | 1997 | 30  | 3   | 0   | 0  | 0  | 0  | 0   | 0  | 81  | 1997 | Milwaukee Brewers     | County Stadium              |
| 106 | Terry      | Adams     | R    | R      | 180    | 75     | 1995-08-10 | 2005-05-23 | 1973       | 3           | 6         | Mobile        | AL          | USA           | 7589  | 106       | 31      | 1995 | 109000  | 72910 | 106       | 31      | 1995 | 18  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 31  | 2001 | Chicago Cubs          | Wrigley Field               |
| 106 | Terry      | Adams     | R    | R      | 180    | 75     | 1995-08-10 | 2005-05-23 | 1973       | 3           | 6         | Mobile        | AL          | USA           | 8567  | 106       | 31      | 1996 | 113000  | 74163 | 106       | 31      | 1996 | 69  | 6   | 0   | 0  | 0  | 0  | 0   | 0  | 31  | 2001 | Chicago Cubs          | Wrigley Field               |
| 106 | Terry      | Adams     | R    | R      | 180    | 75     | 1995-08-10 | 2005-05-23 | 1973       | 3           | 6         | Mobile        | AL          | USA           | 9496  | 106       | 31      | 1997 | 215000  | 75416 | 106       | 31      | 1997 | 74  | 2   | 0   | 0  | 0  | 0  | 0   | 0  | 31  | 2001 | Chicago Cubs          | Wrigley Field               |
| 106 | Terry      | Adams     | R    | R      | 180    | 75     | 1995-08-10 | 2005-05-23 | 1973       | 3           | 6         | Mobile        | AL          | USA           | 10458 | 106       | 31      | 1998 | 295000  | 76654 | 106       | 31      | 1998 | 63  | 1   | 0   | 0  | 0  | 0  | 0   | 0  | 31  | 2001 | Chicago Cubs          | Wrigley Field               |
| 106 | Terry      | Adams     | R    | R      | 180    | 75     | 1995-08-10 | 2005-05-23 | 1973       | 3           | 6         | Mobile        | AL          | USA           | 11459 | 106       | 31      | 1999 | 736000  | 77974 | 106       | 31      | 1999 | 52  | 2   | 0   | 0  | 0  | 0  | 0   | 0  | 31  | 2001 | Chicago Cubs          | Wrigley Field               |
